Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,cores,Total time
1,1,0,0,22,15,50,50,26.6271,1,maps/50map.bmp,,,,
1,0.997,0,0,29,22,50,50,36.4005,1,maps/50mapAOR.bmp,,,,
1,418.734,0,0,930,902,1000,1000,1295.57,1,maps/1000AOR_wObs.bmp,,,,
1,3.807,0,0,97,43,100,100,106.104,1,maps/100map.bmp,,,,
1,417.338,0,0,634,268,1000,1000,688.317,1,maps/1000Geometric.bmp,,,,
1,1.096,0,0,32,49,50,50,58.5235,1,maps/cross50.bmp,,,,
1,1.024,0,0,29,1,50,50,29.0172,1,maps/50map.bmp,,,,
1,1.011,0,0,36,37,50,50,51.6236,1,maps/50mapAOR.bmp,,,,
1,423.502,0,0,812,235,1000,1000,845.322,1,maps/1000AOR_wObs.bmp,,,,
1,4.109,0,0,76,38,100,100,84.9706,1,maps/100map.bmp,,,,
1,411.895,0,0,417,531,1000,1000,675.167,1,maps/1000Geometric.bmp,,,,
1,1.089,0,0,46,2,50,50,46.0435,1,maps/cross50.bmp,,,,
1,1.007,0,0,48,15,50,50,50.2892,1,maps/50map.bmp,,,,
1,0.989,0,0,24,19,50,50,30.6105,1,maps/50mapAOR.bmp,,,,
1,419.566,0,0,701,484,1000,1000,851.855,1,maps/1000AOR_wObs.bmp,,,,
1,3.926,0,0,52,97,100,100,110.059,1,maps/100map.bmp,,,,
1,415.327,0,0,303,484,1000,1000,571.021,1,maps/1000Geometric.bmp,,,,
1,1.182,0,0,45,37,50,50,58.258,1,maps/cross50.bmp,,,,
1,1.111,0,0,11,46,50,50,47.2969,1,maps/50map.bmp,,,,
1,1.026,0,0,25,31,50,50,39.8246,1,maps/50mapAOR.bmp,,,,
1,409.434,0,0,943,624,1000,1000,1130.76,1,maps/1000AOR_wObs.bmp,,,,
1,4.001,0,0,51,87,100,100,100.846,1,maps/100map.bmp,,,,
1,416.446,0,0,950,734,1000,1000,1200.52,1,maps/1000Geometric.bmp,,,,
1,1.087,0,0,15,44,50,50,46.4866,1,maps/cross50.bmp,,,,
1,0.996,0,0,29,17,50,50,33.6155,1,maps/50map.bmp,,,,
1,0.988,0,0,19,19,50,50,26.8701,1,maps/50mapAOR.bmp,,,,
1,416.46,0,0,716,714,1000,1000,1011.16,1,maps/1000AOR_wObs.bmp,,,,
1,3.993,0,0,13,49,100,100,50.6952,1,maps/100map.bmp,,,,
1,417.245,0,0,869,9,1000,1000,869.047,1,maps/1000Geometric.bmp,,,,
1,1.113,0,0,12,33,50,50,35.1141,1,maps/cross50.bmp,,,,
1,1,0,0,7,33,50,50,33.7343,1,maps/50map.bmp,,,,
1,0.979,0,0,21,18,50,50,27.6586,1,maps/50mapAOR.bmp,,,,
1,415.154,0,0,737,388,1000,1000,832.894,1,maps/1000AOR_wObs.bmp,,,,
1,3.79,0,0,60,70,100,100,92.1954,1,maps/100map.bmp,,,,
1,424.069,0,0,999,614,1000,1000,1172.6,1,maps/1000Geometric.bmp,,,,
1,1.202,0,0,11,42,50,50,43.4166,1,maps/cross50.bmp,,,,
1,1.141,0,0,34,23,50,50,41.0488,1,maps/50map.bmp,,,,
1,1.188,0,0,39,24,50,50,45.793,1,maps/50mapAOR.bmp,,,,
1,415.453,0,0,196,869,1000,1000,890.829,1,maps/1000AOR_wObs.bmp,,,,
1,3.875,0,0,91,5,100,100,91.1373,1,maps/100map.bmp,,,,
1,419.449,0,0,931,895,1000,1000,1291.43,1,maps/1000Geometric.bmp,,,,
1,1.112,0,0,36,38,50,50,52.345,1,maps/cross50.bmp,,,,
1,0.994,0,0,9,40,50,50,41,1,maps/50map.bmp,,,,
1,0.974,0,0,16,32,50,50,35.7771,1,maps/50mapAOR.bmp,,,,
1,412.671,0,0,712,404,1000,1000,818.633,1,maps/1000AOR_wObs.bmp,,,,
1,3.994,0,0,71,79,100,100,106.217,1,maps/100map.bmp,,,,
1,415.524,0,0,18,759,1000,1000,759.213,1,maps/1000Geometric.bmp,,,,
